Nyamuragira	-1.408	29.200	2950	1468.6	966	979	604.8	604.6	496.4	572.6	2921.2	2333.6	2231.9	2361.4	550.9	367.1	287.1	287.5	459.5	132.2	152.2	101.8	655.1	3037.6
Tungurahua	-1.467	-78.442	5023	224.3	309.3	225.6	135.4	19.5	121.2	7.2	74.5	11.4	77.7	204.1	3	12.5	0	2.7	40.6	62.5	93.4	75.9	0.2	1.6
Kerinci	-1.697	101.264	3760	152.3	90.5	134.6	133	159.9	16.8	126.3	92.8	91.6	74.7	107.2	144.9	120.2	125.7	76.5	100.1	93.9	158.5	33	8.4	22.9
Sangay	-2.000	-78.341	5286	64.2	81	58.5	52.8	0	0.8	0	26.8	0	7.2	55.7	12.6	31.9	2.7	77.6	229.3	436	377.6	199.9	77.4	44.7
Kadovar	-3.608	144.588	370	838.6	334.2	533.6	356.2	250	364.4	356.2	267.2	196.2	165.2	345.5	309	392.9	301.3	644.5	467.7	334.1	359.2	140.9	213.3	200.2
Manam	-4.080	145.037	1730	1285.9	534.8	752.1	495.1	364.4	551.3	532.9	482.8	438.7	287.3	577.5	488.2	472.5	301	1166.4	550.4	428	472.6	289.6	316.5	320.6
Tavurvur	-4.240	152.210	200	211.9	347.9	1229.3	1937.5	1381.3	30.6	105.1	0	146	0	0	0	0	0	7.5	11.7	0	0	3.8	0	0
Ulawun	-5.050	151.330	2300	149.6	259.8	86.1	65.3	155.9	702	369	143.1	267.3	151	167.2	244.4	306.9	164.3	74.4	24	171	248.5	154.3	112.9	63.6
Langila	-5.525	148.420	991	565.7	325.8	383.1	58.2	156.6	217.5	186.9	360	281.8	131.6	92.3	342.4	676.7	177.8	80.4	208.3	223.8	180.4	188.8	247.7	264.4
Krakatau	-6.106	105.424	813	47.7	43.7	58.9	111.3	124.6	93.1	209.2	234	104.2	57.7	71.9	73.8	94.8	197.1	101.4	136.1	366.2	451.4	284.1	108.7	56.4
